14:37:21.452,0.305,0.206,0.42,90,0,90
14:37:21.553,0.305,0.206,0.42,90,0,90
14:37:21.653,0.305,0.206,0.42,90,0,90
14:37:21.753,0.305,0.206,0.42,90,0,90
14:37:21.854,0.305,0.206,0.42,90,0,90
14:37:21.955,0.305,0.206,0.42,90,0,90
14:37:22.055,0.305,0.206,0.42,90,0,90
14:37:22.156,0.305,0.206,0.42,90,0,90
14:37:22.256,0.305,0.206,0.42,90,0,90
14:37:22.357,0.305,0.206,0.42,90,0,90
14:37:22.458,0.305,0.206,0.42,90,0,90
14:37:22.558,0.305,0.206,0.42,90,0,90
14:37:22.658,0.305,0.206,0.42,90,0,90
14:37:22.759,0.305,0.206,0.42,90,0,90
14:37:22.860,0.305,0.206,0.42,90,0,90
14:37:22.960,0.305,0.206,0.42,90,0,90
14:37:23.060,0.305,0.206,0.42,90,0,90
14:37:23.161,0.305,0.206,0.42,90,0,90
14:37:23.262,0.305,0.206,0.42,90,0,90
14:37:23.362,0.305,0.206,0.42,90,0,90
14:37:23.463,0.305,0.206,0.42,90,0,90
14:37:23.563,0.305,0.206,0.42,90,0,90
14:37:23.663,0.305,0.206,0.42,90,0,90
14:37:23.764,0.305,0.206,0.42,90,0,90
14:37:23.865,0.305,0.206,0.42,90,0,90
14:37:23.965,0.305,0.206,0.42,90,0,90
14:37:24.066,0.305,0.206,0.42,90,0,90
14:37:24.166,0.305,0.206,0.42,90,0,90
14:37:24.267,0.305,0.206,0.42,90,0,90
14:37:24.367,0.305,0.206,0.42,90,0,90
14:37:24.468,0.305,0.206,0.42,90,0,90
14:37:24.568,0.305,0.206,0.42,90,0,90
14:37:24.669,0.305,0.206,0.42,90,0,90
14:37:24.770,0.305,0.206,0.42,90,0,90
14:37:24.870,0.305,0.206,0.42,90,0,90
14:37:24.970,0.305,0.206,0.42,90,0,90
14:37:25.071,0.305,0.206,0.42,90,0,90
14:37:25.172,0.305,0.206,0.42,90,0,90
14:37:25.272,0.305,0.206,0.42,90,0,90
14:37:25.373,0.305,0.206,0.42,90,0,90
14:37:25.473,0.305,0.206,0.42,90,0,90
14:37:25.573,0.305,0.206,0.42,90,0,90
